base_currency,target_currency,exchange_rate
EUR,EUR,1.0
EUR,AED,3.9273
EUR,AFN,78.8215
EUR,ALL,105.2162
EUR,AMD,429.8259
EUR,ANG,1.9142
EUR,AOA,894.3774
EUR,ARS,374.3192
EUR,AUD,1.6629
EUR,AWG,1.9142
EUR,AZN,1.8123
EUR,BAM,1.9558
EUR,BBD,2.1388
EUR,BDT,117.5674
EUR,BGN,1.9558
EUR,BHD,0.4021
EUR,BIF,3028.8489
EUR,BMD,1.0694
EUR,BND,1.4487
EUR,BOB,7.3638
EUR,BRL,5.208
EUR,BSD,1.0694
EUR,BTN,88.9504
EUR,BWP,14.4964
EUR,BYN,3.4689
EUR,BZD,2.1388
EUR,CAD,1.4708
EUR,CDF,2666.1452
EUR,CHF,0.9627
EUR,CLP,951.1305
EUR,CNY,7.7874
EUR,COP,4329.8932
EUR,CRC,567.142
EUR,CUP,25.6654
EUR,CVE,110.265
EUR,CZK,24.6198
EUR,DJF,190.0534
EUR,DKK,7.4597
EUR,DOP,60.501
EUR,DZD,144.4322
EUR,EGP,32.9826
EUR,ERN,16.0409
EUR,ETB,60.0551
EUR,FJD,2.4242
EUR,FKP,0.8694
EUR,FOK,7.4604
EUR,GBP,0.8694
EUR,GEL,2.884
EUR,GGP,0.8694
EUR,GHS,12.814
EUR,GIP,0.8694
EUR,GMD,69.8492
EUR,GNF,9177.6012
EUR,GTQ,8.3329
EUR,GYD,223.9851
EUR,HKD,8.3608
EUR,HNL,26.2792
EUR,HRK,7.5345
EUR,HTG,142.4395
EUR,HUF,378.4639
EUR,IDR,16715.1591
EUR,ILS,4.1394
EUR,IMP,0.8694
EUR,INR,88.9492
EUR,IQD,1400.8559
EUR,IRR,45493.9644
EUR,ISK,150.5046
EUR,JEP,0.8694
EUR,JMD,165.4743
EUR,JOD,0.7582
EUR,JPY,160.8262
EUR,KES,162.941
EUR,KGS,95.46
EUR,KHR,4408.0267
EUR,KID,1.6628
EUR,KMF,491.9678
EUR,KRW,1397.0749
EUR,KWD,0.3294
EUR,KYD,0.8912
EUR,KZT,497.1353
EUR,LAK,21952.9951
EUR,LBP,16040.8774
EUR,LKR,348.1081
EUR,LRD,203.1098
EUR,LSL,19.6287
EUR,LYD,5.2031
EUR,MAD,10.9124
EUR,MDL,19.1708
EUR,MGA,4783.6667
EUR,MKD,61.499
EUR,MMK,2580.1036
EUR,MNT,3682.5705
EUR,MOP,8.6117
